,Year,Month,Carrier,Count,WEATHER_DELAY,Avg
164,2013,08,DL,4392,6744.0,1.53551912568306
165,2013,08,EV,1256,1561.0,1.2428343949044587
166,2013,08,F9,886,774.0,0.873589164785553
167,2013,08,FL,802,355.0,0.442643391521197
168,2013,08,MQ,1885,6681.0,3.5442970822281166
169,2013,08,NK,0,0.0,0.0
170,2013,08,OO,1991,2277.0,1.143646408839779
171,2013,08,UA,4124,7750.0,1.8792434529582929
172,2013,08,US,3573,2589.0,0.7246011754827876
173,2013,08,VX,876,1580.0,1.8036529680365296
174,2013,08,WN,5798,9256.0,1.5964125560538116
175,2013,08,YV,349,164.0,0.4699140401146132
176,2013,09,9E,299,625.0,2.0903010033444818
177,2013,09,AA,1647,5842.0,3.5470552519732848
178,2013,09,AS,691,782.0,1.1316931982633864
179,2013,09,B6,631,1351.0,2.1410459587955626
180,2013,09,DL,2560,2658.0,1.03828125
181,2013,09,EV,848,866.0,1.0212264150943395
182,2013,09,F9,830,691.0,0.8325301204819278
183,2013,09,FL,510,621.0,1.2176470588235293
184,2013,09,MQ,1282,4989.0,3.8915756630265212
185,2013,09,NK,0,0.0,0.0
186,2013,09,OO,1357,1155.0,0.8511422254974208
187,2013,09,UA,2950,8193.0,2.77728813559322
188,2013,09,US,2012,2433.0,1.209244532803181
189,2013,09,VX,590,2281.0,3.8661016949152542
190,2013,09,WN,5079,8931.0,1.7584170112226816
191,2013,09,YV,203,2002.0,9.862068965517242
192,2013,10,9E,388,575.0,1.481958762886598
193,2013,10,AA,1880,2257.0,1.200531914893617
194,2013,10,AS,519,125.0,0.24084778420038536
195,2013,10,B6,535,223.0,0.41682242990654206
196,2013,10,DL,2523,1488.0,0.5897740784780023
197,2013,10,EV,1228,1177.0,0.9584690553745928
198,2013,10,F9,683,107.0,0.15666178623718888
199,2013,10,FL,633,50.0,0.07898894154818326
200,2013,10,MQ,1455,1465.0,1.006872852233677
201,2013,10,NK,0,0.0,0.0
202,2013,10,OO,1391,840.0,0.603882099209202
203,2013,10,UA,3040,2212.0,0.7276315789473684
204,2013,10,US,2286,495.0,0.21653543307086615
205,2013,10,VX,445,1066.0,2.3955056179775283
206,2013,10,WN,4568,5283.0,1.156523642732049
207,2013,10,YV,233,762.0,3.2703862660944205
208,2013,11,9E,335,373.0,1.1134328358208956
209,2013,11,AA,1845,2484.0,1.3463414634146342
210,2013,11,AS,429,208.0,0.48484848484848486
211,2013,11,B6,544,477.0,0.8768382352941176
212,2013,11,DL,2981,4785.0,1.6051660516605166
213,2013,11,EV,1084,1219.0,1.1245387453874538
214,2013,11,F9,595,186.0,0.3126050420168067
215,2013,11,FL,514,83.0,0.1614785992217899
216,2013,11,MQ,1105,2010.0,1.8190045248868778
217,2013,11,NK,0,0.0,0.0
218,2013,11,OO,1137,1410.0,1.2401055408970976
219,2013,11,UA,2813,5472.0,1.9452541770351937
220,2013,11,US,2414,890.0,0.36868268434134216
221,2013,11,VX,470,1584.0,3.370212765957447
222,2013,11,WN,3843,4657.0,1.2118136872235232
223,2013,11,YV,250,520.0,2.08
224,2013,12,9E,780,3347.0,4.291025641025641
225,2013,12,AA,2779,12504.0,4.499460237495502
226,2013,12,AS,510,1296.0,2.541176470588235
227,2013,12,B6,1372,3382.0,2.4650145772594754
228,2013,12,DL,5075,16276.0,3.207093596059113
229,2013,12,EV,1880,4269.0,2.2707446808510636
230,2013,12,F9,1184,662.0,0.5591216216216216
231,2013,12,FL,936,319.0,0.3408119658119658
232,2013,12,MQ,2174,16916.0,7.781048758049678
233,2013,12,NK,0,0.0,0.0
234,2013,12,OO,1807,2887.0,1.5976757055893747
235,2013,12,UA,4313,10682.0,2.4766983538140503
236,2013,12,US,3579,3005.0,0.8396200055881531
237,2013,12,VX,423,4710.0,11.134751773049645
